Date,Price
10/1/2013,2.04
10/2/2013,2.34
10/3/2013,2.21
10/6/2013,2.19
10/7/2013,2.15
10/8/2013,2.18
10/9/2013,2.18
10/10/2013,2.27
10/20/2013,2.33
10/21/2013,2.32
10/22/2013,2.32
10/23/2013,2.29
10/24/2013,2.3
10/27/2013,2.31
10/28/2013,2.3
10/29/2013,2.27
10/30/2013,2.3
10/31/2013,2.33
11/4/2013,2.32
11/5/2013,2.3
11/6/2013,2.29
11/7/2013,2.3
11/10/2013,2.26
11/11/2013,2.2
11/12/2013,2.15
11/13/2013,2.17
11/14/2013,2.19
11/17/2013,2.15
11/18/2013,2.19
11/19/2013,2.17
11/20/2013,2.21
11/21/2013,2.21
11/24/2013,2.19
11/25/2013,2.18
11/26/2013,2.17
11/27/2013,2.17
11/28/2013,2.25
12/2/2013,2.35
12/3/2013,2.3
12/4/2013,2.28
12/5/2013,2.29
12/8/2013,2.32
12/9/2013,2.3
12/10/2013,2.29
12/11/2013,2.28
12/12/2013,2.29
12/15/2013,2.3
12/16/2013,2.27
12/17/2013,2.26
12/18/2013,2.28
12/19/2013,2.3
12/22/2013,2.28
12/23/2013,2.28
12/24/2013,2.29
12/25/2013,2.3
12/26/2013,2.33
12/29/2013,2.28
12/30/2013,2.33
12/31/2013,2.47
1/2/2014,2.51
1/5/2014,2.47
1/6/2014,2.42
1/7/2014,2.4
1/8/2014,2.43
1/9/2014,2.45
1/13/2014,2.5
1/14/2014,2.53
1/15/2014,2.53
1/16/2014,2.54
1/19/2014,2.53
1/20/2014,2.58
1/21/2014,2.56
1/22/2014,2.51
1/23/2014,2.62
1/26/2014,2.56
1/27/2014,2.45
1/28/2014,2.54
1/29/2014,2.57
1/30/2014,2.54
2/2/2014,2.49
2/3/2014,2.57
2/4/2014,2.59
2/5/2014,2.6
2/6/2014,2.71
2/9/2014,2.83
2/10/2014,2.86
2/11/2014,3.06
2/12/2014,3.05
2/13/2014,3.1
2/16/2014,3.33
2/17/2014,3.35
2/18/2014,3.25
2/19/2014,3.24
2/20/2014,3.3
2/23/2014,3.2
2/24/2014,3.19
2/25/2014,3.24
2/26/2014,3.22
2/27/2014,3.24
3/2/2014,3.16
3/3/2014,3.09
3/4/2014,3.1
3/5/2014,3.1
3/6/2014,3.1
3/9/2014,3.1
3/10/2014,3.08
3/11/2014,3
3/12/2014,2.8
3/13/2014,2.87
3/16/2014,2.88
3/17/2014,2.95
3/18/2014,3.07
3/19/2014,3.12
3/20/2014,3.26
3/23/2014,3.32
3/24/2014,3.25
3/25/2014,3.32
3/26/2014,3.33
3/27/2014,3.3
3/30/2014,3.36
3/31/2014,3.42
4/1/2014,3.49
4/2/2014,3.45
4/3/2014,3.43
4/6/2014,3.36
4/7/2014,3.38
4/8/2014,3.51
4/9/2014,3.62
4/10/2014,3.6
4/13/2014,3.53
4/14/2014,3.57
4/15/2014,3.51
4/16/2014,3.53
4/17/2014,3.51
4/20/2014,3.58
4/21/2014,3.64
4/22/2014,3.81
4/23/2014,3.8
4/24/2014,3.82
4/27/2014,3.72
4/28/2014,3.67
4/29/2014,3.68
4/30/2014,3.63
5/1/2014,3.65
5/4/2014,3.8
5/5/2014,3.87
5/6/2014,3.79
5/7/2014,3.63
5/8/2014,3.66
5/11/2014,3.53
5/12/2014,3.62
5/13/2014,3.7
5/14/2014,3.65
5/15/2014,3.65
5/18/2014,3.6
5/19/2014,3.35
5/20/2014,3.2
5/21/2014,3.44
5/22/2014,3.6
5/26/2014,3.75
5/27/2014,3.83
5/28/2014,3.7
5/29/2014,4.25
6/1/2014,4.21
6/2/2014,4.23
6/3/2014,4.17
6/4/2014,4.15
6/5/2014,4.24
6/8/2014,4.12
6/9/2014,4
6/10/2014,3.94
6/11/2014,3.92
6/12/2014,4.04
6/15/2014,3.8
6/16/2014,3.78
6/17/2014,3.79
6/18/2014,3.87
6/19/2014,3.81
6/22/2014,3.75
6/23/2014,3.41
